,County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
37518,42 - Santa Barbara,11/14/19,Pending Construction,4721968,14,NA
37519,42 - Santa Barbara,11/14/19,In Construction,58550574,42,NA
37520,42 - Santa Barbara,11/14/19,In Closure,139111387.8,8,NA
37521,43 - Santa Clara,11/14/19,In Review,306367992,58,Bay Area Counties
37522,43 - Santa Clara,11/14/19,Pending Construction,47652061.86,80,Bay Area Counties
37523,43 - Santa Clara,11/14/19,In Construction,726970883.4,170,Bay Area Counties
37524,43 - Santa Clara,11/14/19,In Closure,291554400.3,41,Bay Area Counties
37525,44 - Santa Cruz,11/14/19,In Review,2285000,3,NA
37526,44 - Santa Cruz,11/14/19,Pending Construction,1597420,9,NA
37527,44 - Santa Cruz,11/14/19,In Construction,23612596,22,NA
37528,44 - Santa Cruz,11/14/19,In Closure,1464759,4,NA
37529,45 - Shasta,11/14/19,In Review,1308243,8,NA
37530,45 - Shasta,11/14/19,Pending Construction,7139375,8,NA
37531,45 - Shasta,11/14/19,In Construction,20014839.17,21,NA
37532,45 - Shasta,11/14/19,In Closure,345891,1,NA
37533,46 - Sierra,11/14/19,In Review,0,0,NA
37534,46 - Sierra,11/14/19,Pending Construction,85500,1,NA
37535,46 - Sierra,11/14/19,In Construction,148000,1,NA
37536,46 - Sierra,11/14/19,In Closure,0,0,NA
37537,47 - Siskiyou,11/14/19,In Review,1084338,1,NA
37538,47 - Siskiyou,11/14/19,Pending Construction,1278157,6,NA
37539,47 - Siskiyou,11/14/19,In Construction,5764176,6,NA
37540,47 - Siskiyou,11/14/19,In Closure,24634,1,NA
37541,48 - Solano,11/14/19,In Review,2027694,17,Bay Area Counties
37542,48 - Solano,11/14/19,Pending Construction,4595816,12,Bay Area Counties
37543,48 - Solano,11/14/19,In Construction,100251974,50,Bay Area Counties
37544,48 - Solano,11/14/19,In Closure,3010869,7,Bay Area Counties
37545,49 - Sonoma,11/14/19,In Review,127150556.8,27,Bay Area Counties
37546,49 - Sonoma,11/14/19,Pending Construction,3895483,15,Bay Area Counties
37547,49 - Sonoma,11/14/19,In Construction,48716716.19,55,Bay Area Counties
37548,49 - Sonoma,11/14/19,In Closure,4534785,8,Bay Area Counties
37549,50 - Stanislaus,11/14/19,In Review,4572656,8,NA
37550,50 - Stanislaus,11/14/19,Pending Construction,3737174,23,NA
37551,50 - Stanislaus,11/14/19,In Construction,23809147,35,NA
37552,50 - Stanislaus,11/14/19,In Closure,2968336,13,NA
37553,51 - Sutter,11/14/19,In Review,0,0,NA
37554,51 - Sutter,11/14/19,Pending Construction,15000,1,NA
37555,51 - Sutter,11/14/19,In Construction,232525,4,NA
37556,51 - Sutter,11/14/19,In Closure,108985,1,NA
37557,52 - Tehama,11/14/19,In Review,307500,2,NA
37558,52 - Tehama,11/14/19,Pending Construction,82095,1,NA
37559,52 - Tehama,11/14/19,In Construction,2269702,7,NA
37560,52 - Tehama,11/14/19,In Closure,0,0,NA
37561,53 - Trinity,11/14/19,In Review,750000,1,NA
37562,53 - Trinity,11/14/19,Pending Construction,140000,1,NA
37563,53 - Trinity,11/14/19,In Construction,0,0,NA
37564,53 - Trinity,11/14/19,In Closure,0,0,NA
37565,54 - Tulare,11/14/19,In Review,1255000,7,NA
37566,54 - Tulare,11/14/19,Pending Construction,841746,10,NA
37567,54 - Tulare,11/14/19,In Construction,69164728,24,NA
37568,54 - Tulare,11/14/19,In Closure,1601964,8,NA
37569,55 - Tuolumne,11/14/19,In Review,0,0,NA
37570,55 - Tuolumne,11/14/19,Pending Construction,0,0,NA
37571,55 - Tuolumne,11/14/19,In Construction,0,0,NA
37572,55 - Tuolumne,11/14/19,In Closure,47030,1,NA
37573,56 - Ventura,11/14/19,In Review,10477558,10,Greater Los Angeles Counties
37574,56 - Ventura,11/14/19,Pending Construction,25836715,25,Greater Los Angeles Counties
37575,56 - Ventura,11/14/19,In Construction,199077424.5,60,Greater Los Angeles Counties
37576,56 - Ventura,11/14/19,In Closure,4051222,6,Greater Los Angeles Counties
37577,57 - Yolo,11/14/19,In Review,12555733,8,Greater Sacramento Counties
37578,57 - Yolo,11/14/19,Pending Construction,1139772,4,Greater Sacramento Counties
37579,57 - Yolo,11/14/19,In Construction,21478478,15,Greater Sacramento Counties
37580,57 - Yolo,11/14/19,In Closure,0,0,Greater Sacramento Counties
37581,58 - Yuba,11/14/19,In Review,1230000,1,NA
37582,58 - Yuba,11/14/19,Pending Construction,1405000,1,NA
37583,58 - Yuba,11/14/19,In Construction,6554839,9,NA
37584,58 - Yuba,11/14/19,In Closure,0,0,NA
37585,01 - Alameda,11/26/19,In Review,45562829,30,Bay Area Counties
37586,01 - Alameda,11/26/19,Pending Construction,24702999.45,50,Bay Area Counties
37587,01 - Alameda,11/26/19,In Construction,470453107.2,138,Bay Area Counties
37588,01 - Alameda,11/26/19,In Closure,32071342,14,Bay Area Counties
37589,02 - Alpine,11/26/19,In Review,0,0,NA
37590,02 - Alpine,11/26/19,Pending Construction,0,0,NA
37591,02 - Alpine,11/26/19,In Construction,0,0,NA
37592,02 - Alpine,11/26/19,In Closure,0,0,NA
37593,03 - Amador,11/26/19,In Review,325000,3,NA
37594,03 - Amador,11/26/19,Pending Construction,0,0,NA
37595,03 - Amador,11/26/19,In Construction,551980,7,NA
37596,03 - Amador,11/26/19,In Closure,2806313,1,NA
37597,04 - Butte,11/26/19,In Review,201000,2,NA
37598,04 - Butte,11/26/19,Pending Construction,339300,5,NA
37599,04 - Butte,11/26/19,In Construction,117995902,17,NA
37600,04 - Butte,11/26/19,In Closure,1.00E+05,1,NA
37601,05 - Calaveras,11/26/19,In Review,1.00E+05,1,NA
37602,05 - Calaveras,11/26/19,Pending Construction,578288,3,NA
37603,05 - Calaveras,11/26/19,In Construction,702211,1,NA
37604,05 - Calaveras,11/26/19,In Closure,23500,1,NA
37605,06 - Colusa,11/26/19,In Review,0,0,NA
37606,06 - Colusa,11/26/19,Pending Construction,50000,1,NA
37607,06 - Colusa,11/26/19,In Construction,0,0,NA
37608,06 - Colusa,11/26/19,In Closure,0,0,NA
37609,07 - Contra Costa,11/26/19,In Review,35367813,22,Bay Area Counties
37610,07 - Contra Costa,11/26/19,Pending Construction,6148289,23,Bay Area Counties
37611,07 - Contra Costa,11/26/19,In Construction,79459052,64,Bay Area Counties
37612,07 - Contra Costa,11/26/19,In Closure,7090773,17,Bay Area Counties
37613,08 - Del Norte,11/26/19,In Review,2800000,1,NA
37614,08 - Del Norte,11/26/19,Pending Construction,0,0,NA
37615,08 - Del Norte,11/26/19,In Construction,3612840,4,NA
37616,08 - Del Norte,11/26/19,In Closure,70957,2,NA
37617,09 - El Dorado,11/26/19,In Review,50000,1,Greater Sacramento Counties
37618,09 - El Dorado,11/26/19,Pending Construction,7932397,5,Greater Sacramento Counties
37619,09 - El Dorado,11/26/19,In Construction,9452175,18,Greater Sacramento Counties
37620,09 - El Dorado,11/26/19,In Closure,0,0,Greater Sacramento Counties
37621,10 - Fresno,11/26/19,In Review,99121433,32,NA
37622,10 - Fresno,11/26/19,Pending Construction,14463500,26,NA
37623,10 - Fresno,11/26/19,In Construction,71679528,71,NA
37624,10 - Fresno,11/26/19,In Closure,7502115,15,NA
37625,11 - Glenn,11/26/19,In Review,0,0,NA
37626,11 - Glenn,11/26/19,Pending Construction,13002075,3,NA
37627,11 - Glenn,11/26/19,In Construction,0,0,NA
37628,11 - Glenn,11/26/19,In Closure,0,0,NA
37629,12 - Humboldt,11/26/19,In Review,4819150,3,NA
37630,12 - Humboldt,11/26/19,Pending Construction,1481100,4,NA
37631,12 - Humboldt,11/26/19,In Construction,99979352,7,NA
37632,12 - Humboldt,11/26/19,In Closure,105538,1,NA
37633,13 - Imperial,11/26/19,In Review,9142790,5,NA
37634,13 - Imperial,11/26/19,Pending Construction,15054000,10,NA
37635,13 - Imperial,11/26/19,In Construction,26475116,5,NA
37636,13 - Imperial,11/26/19,In Closure,0,0,NA
37637,14 - Inyo,11/26/19,In Review,0,0,NA
37638,14 - Inyo,11/26/19,Pending Construction,0,0,NA
37639,14 - Inyo,11/26/19,In Construction,1441200,3,NA
37640,14 - Inyo,11/26/19,In Closure,0,0,NA
37641,15 - Kern,11/26/19,In Review,37447487,24,NA
37642,15 - Kern,11/26/19,Pending Construction,57926470,22,NA
37643,15 - Kern,11/26/19,In Construction,18406486,47,NA
37644,15 - Kern,11/26/19,In Closure,0,0,NA
37645,16 - Kings,11/26/19,In Review,0,0,NA
37646,16 - Kings,11/26/19,Pending Construction,130000,1,NA
37647,16 - Kings,11/26/19,In Construction,337810,4,NA
37648,16 - Kings,11/26/19,In Closure,336629,1,NA
37649,17 - Lake,11/26/19,In Review,2039200,7,NA
37650,17 - Lake,11/26/19,Pending Construction,348000,3,NA
37651,17 - Lake,11/26/19,In Construction,6373510,11,NA
37652,17 - Lake,11/26/19,In Closure,30000,1,NA
37653,18 - Lassen,11/26/19,In Review,20000,1,NA
37654,18 - Lassen,11/26/19,Pending Construction,6817036,2,NA
37655,18 - Lassen,11/26/19,In Construction,3651177,7,NA
37656,18 - Lassen,11/26/19,In Closure,0,0,NA
37657,19 - Los Angeles,11/26/19,In Review,287020623,310,Greater Los Angeles Counties
37658,19 - Los Angeles,11/26/19,Pending Construction,224003383.6,396,Greater Los Angeles Counties
37659,19 - Los Angeles,11/26/19,In Construction,1231476176,1008,Greater Los Angeles Counties
37660,19 - Los Angeles,11/26/19,In Closure,87438837.67,124,Greater Los Angeles Counties
37661,20 - Madera,11/26/19,In Review,7706121,9,NA
37662,20 - Madera,11/26/19,Pending Construction,2308301,8,NA
37663,20 - Madera,11/26/19,In Construction,5797479,18,NA
37664,20 - Madera,11/26/19,In Closure,326986,3,NA
37665,21 - Marin,11/26/19,In Review,33091075,16,Bay Area Counties
37666,21 - Marin,11/26/19,Pending Construction,37279069.38,7,Bay Area Counties
37667,21 - Marin,11/26/19,In Construction,232757693.3,43,Bay Area Counties
37668,21 - Marin,11/26/19,In Closure,39032895.38,6,Bay Area Counties
37669,22 - Mariposa,11/26/19,In Review,0,0,NA
37670,22 - Mariposa,11/26/19,Pending Construction,15000,1,NA
37671,22 - Mariposa,11/26/19,In Construction,51500,3,NA
37672,22 - Mariposa,11/26/19,In Closure,0,0,NA
37673,23 - Mendocino,11/26/19,In Review,50000,1,NA
37674,23 - Mendocino,11/26/19,Pending Construction,374000,3,NA
37675,23 - Mendocino,11/26/19,In Construction,5909327,15,NA
37676,23 - Mendocino,11/26/19,In Closure,0,0,NA
37677,24 - Merced,11/26/19,In Review,894303,4,NA
37678,24 - Merced,11/26/19,Pending Construction,1647068,4,NA
37679,24 - Merced,11/26/19,In Construction,1872645,10,NA
37680,24 - Merced,11/26/19,In Closure,121900,2,NA
37681,25 - Modoc,11/26/19,In Review,0,0,NA
37682,25 - Modoc,11/26/19,Pending Construction,0,0,NA
37683,25 - Modoc,11/26/19,In Construction,26706889,2,NA
37684,25 - Modoc,11/26/19,In Closure,0,0,NA
37685,26 - Mono,11/26/19,In Review,0,0,NA
37686,26 - Mono,11/26/19,Pending Construction,30554,2,NA
37687,26 - Mono,11/26/19,In Construction,451000,1,NA
37688,26 - Mono,11/26/19,In Closure,618276,1,NA
37689,27 - Monterey,11/26/19,In Review,5511895,11,NA
37690,27 - Monterey,11/26/19,Pending Construction,6486260,23,NA
37691,27 - Monterey,11/26/19,In Construction,25214487,25,NA
37692,27 - Monterey,11/26/19,In Closure,702033,4,NA
37693,28 - Napa,11/26/19,In Review,8111066,7,Bay Area Counties
37694,28 - Napa,11/26/19,Pending Construction,12340348,10,Bay Area Counties
37695,28 - Napa,11/26/19,In Construction,6230615,21,Bay Area Counties
37696,28 - Napa,11/26/19,In Closure,117753,2,Bay Area Counties
37697,29 - Nevada,11/26/19,In Review,49000,3,NA
37698,29 - Nevada,11/26/19,Pending Construction,2027172,6,NA
37699,29 - Nevada,11/26/19,In Construction,28578608,18,NA
37700,29 - Nevada,11/26/19,In Closure,1274944,3,NA
37701,30 - Orange,11/26/19,In Review,68754326,75,Greater Los Angeles Counties
37702,30 - Orange,11/26/19,Pending Construction,22647718,70,Greater Los Angeles Counties
37703,30 - Orange,11/26/19,In Construction,180532337,145,Greater Los Angeles Counties
37704,30 - Orange,11/26/19,In Closure,45673433,63,Greater Los Angeles Counties
37705,31 - Placer,11/26/19,In Review,20531000,11,Greater Sacramento Counties
37706,31 - Placer,11/26/19,Pending Construction,4641618,6,Greater Sacramento Counties
37707,31 - Placer,11/26/19,In Construction,84587879,35,Greater Sacramento Counties
37708,31 - Placer,11/26/19,In Closure,6968587,13,Greater Sacramento Counties
37709,32 - Plumas,11/26/19,In Review,0,0,NA
37710,32 - Plumas,11/26/19,Pending Construction,140000,1,NA
37711,32 - Plumas,11/26/19,In Construction,328879,7,NA
37712,32 - Plumas,11/26/19,In Closure,0,0,NA
37713,33 - Riverside,11/26/19,In Review,299013042,60,NA
37714,33 - Riverside,11/26/19,Pending Construction,51729755,47,NA
37715,33 - Riverside,11/26/19,In Construction,336471294.7,137,NA
37716,33 - Riverside,11/26/19,In Closure,15058651,16,NA
37717,34 - Sacramento,11/26/19,In Review,655031280,64,Greater Sacramento Counties
37718,34 - Sacramento,11/26/19,Pending Construction,49170278,49,Greater Sacramento Counties
37719,34 - Sacramento,11/26/19,In Construction,310029568,152,Greater Sacramento Counties
37720,34 - Sacramento,11/26/19,In Closure,6894413,12,Greater Sacramento Counties
37721,35 - San Benito,11/26/19,In Review,0,0,NA
37722,35 - San Benito,11/26/19,Pending Construction,75000,1,NA
37723,35 - San Benito,11/26/19,In Construction,265499,2,NA
37724,35 - San Benito,11/26/19,In Closure,0,0,NA
37725,36 - San Bernardino,11/26/19,In Review,47545079,48,NA
37726,36 - San Bernardino,11/26/19,Pending Construction,16669151.18,55,NA
37727,36 - San Bernardino,11/26/19,In Construction,830450059.9,156,NA
37728,36 - San Bernardino,11/26/19,In Closure,19408941,23,NA
37729,37 - San Diego,11/26/19,In Review,662722930.7,87,NA
37730,37 - San Diego,11/26/19,Pending Construction,34464549.4,99,NA
37731,37 - San Diego,11/26/19,In Construction,219300351.9,198,NA
37732,37 - San Diego,11/26/19,In Closure,18343059,54,NA
37733,38 - San Francisco,11/26/19,In Review,52113634,32,Bay Area Counties
37734,38 - San Francisco,11/26/19,Pending Construction,58761599,60,Bay Area Counties
37735,38 - San Francisco,11/26/19,In Construction,596976037,113,Bay Area Counties
37736,38 - San Francisco,11/26/19,In Closure,6244518,13,Bay Area Counties
37737,39 - San Joaquin,11/26/19,In Review,26969969,16,NA
37738,39 - San Joaquin,11/26/19,Pending Construction,9744017,16,NA
37739,39 - San Joaquin,11/26/19,In Construction,35560665,33,NA
37740,39 - San Joaquin,11/26/19,In Closure,28278909,11,NA
37741,40 - San Luis Obispo,11/26/19,In Review,954152,4,NA
37742,40 - San Luis Obispo,11/26/19,Pending Construction,3067853,12,NA
37743,40 - San Luis Obispo,11/26/19,In Construction,24780669,22,NA
37744,40 - San Luis Obispo,11/26/19,In Closure,1889446,12,NA
37745,41 - San Mateo,11/26/19,In Review,13794237,15,Bay Area Counties
37746,41 - San Mateo,11/26/19,Pending Construction,30794337,31,Bay Area Counties
37747,41 - San Mateo,11/26/19,In Construction,50079550,64,Bay Area Counties
37748,41 - San Mateo,11/26/19,In Closure,15645487,14,Bay Area Counties
37749,42 - Santa Barbara,11/26/19,In Review,1796382,15,NA
37750,42 - Santa Barbara,11/26/19,Pending Construction,4741468,16,NA
37751,42 - Santa Barbara,11/26/19,In Construction,57328540,41,NA
37752,42 - Santa Barbara,11/26/19,In Closure,94876521.15,6,NA
37753,43 - Santa Clara,11/26/19,In Review,328090941,64,Bay Area Counties
37754,43 - Santa Clara,11/26/19,Pending Construction,44931037.86,74,Bay Area Counties
37755,43 - Santa Clara,11/26/19,In Construction,729992202.9,174,Bay Area Counties
37756,43 - Santa Clara,11/26/19,In Closure,283068121.9,36,Bay Area Counties
37757,44 - Santa Cruz,11/26/19,In Review,2820910,5,NA
37758,44 - Santa Cruz,11/26/19,Pending Construction,1568483,9,NA
37759,44 - Santa Cruz,11/26/19,In Construction,23612596,22,NA
37760,44 - Santa Cruz,11/26/19,In Closure,138928,2,NA
37761,45 - Shasta,11/26/19,In Review,1308243,8,NA
37762,45 - Shasta,11/26/19,Pending Construction,7139375,8,NA
37763,45 - Shasta,11/26/19,In Construction,20014939.17,21,NA
37764,45 - Shasta,11/26/19,In Closure,0,0,NA
37765,46 - Sierra,11/26/19,In Review,0,0,NA
37766,46 - Sierra,11/26/19,Pending Construction,85500,1,NA
37767,46 - Sierra,11/26/19,In Construction,148000,1,NA
37768,46 - Sierra,11/26/19,In Closure,0,0,NA
37769,47 - Siskiyou,11/26/19,In Review,1084338,1,NA
37770,47 - Siskiyou,11/26/19,Pending Construction,1278157,6,NA
37771,47 - Siskiyou,11/26/19,In Construction,5764177,6,NA
37772,47 - Siskiyou,11/26/19,In Closure,24634,1,NA
37773,48 - Solano,11/26/19,In Review,1153336,12,Bay Area Counties
37774,48 - Solano,11/26/19,Pending Construction,5159134,17,Bay Area Counties
37775,48 - Solano,11/26/19,In Construction,22579823,46,Bay Area Counties
37776,48 - Solano,11/26/19,In Closure,82147974,12,Bay Area Counties
37777,49 - Sonoma,11/26/19,In Review,127170556.8,28,Bay Area Counties
37778,49 - Sonoma,11/26/19,Pending Construction,1349000,12,Bay Area Counties
37779,49 - Sonoma,11/26/19,In Construction,51029953.19,57,Bay Area Counties
37780,49 - Sonoma,11/26/19,In Closure,4720903,8,Bay Area Counties
37781,50 - Stanislaus,11/26/19,In Review,4340786,7,NA
37782,50 - Stanislaus,11/26/19,Pending Construction,3969044,24,NA
37783,50 - Stanislaus,11/26/19,In Construction,23809147,35,NA
37784,50 - Stanislaus,11/26/19,In Closure,2549426,12,NA
37785,51 - Sutter,11/26/19,In Review,0,0,NA
37786,51 - Sutter,11/26/19,Pending Construction,15000,1,NA
37787,51 - Sutter,11/26/19,In Construction,232525,4,NA
37788,51 - Sutter,11/26/19,In Closure,108985,1,NA
37789,52 - Tehama,11/26/19,In Review,310000,2,NA
37790,52 - Tehama,11/26/19,Pending Construction,7500,1,NA
37791,52 - Tehama,11/26/19,In Construction,2351797,8,NA
37792,52 - Tehama,11/26/19,In Closure,0,0,NA
37793,53 - Trinity,11/26/19,In Review,750000,1,NA
37794,53 - Trinity,11/26/19,Pending Construction,140000,1,NA
37795,53 - Trinity,11/26/19,In Construction,0,0,NA
37796,53 - Trinity,11/26/19,In Closure,0,0,NA
37797,54 - Tulare,11/26/19,In Review,1255000,7,NA
37798,54 - Tulare,11/26/19,Pending Construction,976687,10,NA
37799,54 - Tulare,11/26/19,In Construction,69164728,24,NA
37800,54 - Tulare,11/26/19,In Closure,1544203,6,NA
37801,55 - Tuolumne,11/26/19,In Review,0,0,NA
37802,55 - Tuolumne,11/26/19,Pending Construction,0,0,NA
37803,55 - Tuolumne,11/26/19,In Construction,0,0,NA
37804,55 - Tuolumne,11/26/19,In Closure,0,0,NA
37805,56 - Ventura,11/26/19,In Review,11402558,10,Greater Los Angeles Counties
37806,56 - Ventura,11/26/19,Pending Construction,25861715,26,Greater Los Angeles Counties
37807,56 - Ventura,11/26/19,In Construction,198736544.5,58,Greater Los Angeles Counties
37808,56 - Ventura,11/26/19,In Closure,4444102,7,Greater Los Angeles Counties
37809,57 - Yolo,11/26/19,In Review,9732000,7,Greater Sacramento Counties
37810,57 - Yolo,11/26/19,Pending Construction,3963505,5,Greater Sacramento Counties
37811,57 - Yolo,11/26/19,In Construction,21478478,15,Greater Sacramento Counties
37812,57 - Yolo,11/26/19,In Closure,0,0,Greater Sacramento Counties
37813,58 - Yuba,11/26/19,In Review,1230000,1,NA
37814,58 - Yuba,11/26/19,Pending Construction,1405000,1,NA
37815,58 - Yuba,11/26/19,In Construction,6563339,9,NA
37816,58 - Yuba,11/26/19,In Closure,0,0,NA
37817,01 - Alameda,12/13/19,In Review,47145748,33,Bay Area Counties
37818,01 - Alameda,12/13/19,Pending Construction,23668627.45,50,Bay Area Counties
37819,01 - Alameda,12/13/19,In Construction,471075037.2,138,Bay Area Counties
37820,01 - Alameda,12/13/19,In Closure,40144194,15,Bay Area Counties
37821,02 - Alpine,12/13/19,In Review,0,0,NA
37822,02 - Alpine,12/13/19,Pending Construction,0,0,NA
37823,02 - Alpine,12/13/19,In Construction,0,0,NA
37824,02 - Alpine,12/13/19,In Closure,0,0,NA
37825,03 - Amador,12/13/19,In Review,325000,3,NA
37826,03 - Amador,12/13/19,Pending Construction,0,0,NA
37827,03 - Amador,12/13/19,In Construction,551980,7,NA
37828,03 - Amador,12/13/19,In Closure,2806313,1,NA
37829,04 - Butte,12/13/19,In Review,201000,2,NA
37830,04 - Butte,12/13/19,Pending Construction,339300,5,NA
37831,04 - Butte,12/13/19,In Construction,118030510,17,NA
37832,04 - Butte,12/13/19,In Closure,1.00E+05,1,NA
37833,05 - Calaveras,12/13/19,In Review,1.00E+05,1,NA
37834,05 - Calaveras,12/13/19,Pending Construction,578288,3,NA
37835,05 - Calaveras,12/13/19,In Construction,702711,1,NA
37836,05 - Calaveras,12/13/19,In Closure,23500,1,NA
37837,06 - Colusa,12/13/19,In Review,0,0,NA
37838,06 - Colusa,12/13/19,Pending Construction,50000,1,NA
37839,06 - Colusa,12/13/19,In Construction,0,0,NA
37840,06 - Colusa,12/13/19,In Closure,0,0,NA
37841,07 - Contra Costa,12/13/19,In Review,30814643,24,Bay Area Counties
37842,07 - Contra Costa,12/13/19,Pending Construction,11540437,23,Bay Area Counties
37843,07 - Contra Costa,12/13/19,In Construction,79478352,64,Bay Area Counties
37844,07 - Contra Costa,12/13/19,In Closure,7052301,16,Bay Area Counties
37845,08 - Del Norte,12/13/19,In Review,2800000,1,NA
37846,08 - Del Norte,12/13/19,Pending Construction,0,0,NA
37847,08 - Del Norte,12/13/19,In Construction,3613340,4,NA
37848,08 - Del Norte,12/13/19,In Closure,70957,2,NA
37849,09 - El Dorado,12/13/19,In Review,50000,1,Greater Sacramento Counties
37850,09 - El Dorado,12/13/19,Pending Construction,7932397,5,Greater Sacramento Counties
37851,09 - El Dorado,12/13/19,In Construction,9452175,18,Greater Sacramento Counties
37852,09 - El Dorado,12/13/19,In Closure,0,0,Greater Sacramento Counties
37853,10 - Fresno,12/13/19,In Review,107922790,35,NA
37854,10 - Fresno,12/13/19,Pending Construction,13721488,25,NA
37855,10 - Fresno,12/13/19,In Construction,72096607,73,NA
37856,10 - Fresno,12/13/19,In Closure,5452355,9,NA
37857,11 - Glenn,12/13/19,In Review,0,0,NA
37858,11 - Glenn,12/13/19,Pending Construction,13002075,3,NA
37859,11 - Glenn,12/13/19,In Construction,0,0,NA
37860,11 - Glenn,12/13/19,In Closure,0,0,NA
37861,12 - Humboldt,12/13/19,In Review,3242150,2,NA
37862,12 - Humboldt,12/13/19,Pending Construction,1472100,3,NA
37863,12 - Humboldt,12/13/19,In Construction,99992852,8,NA
37864,12 - Humboldt,12/13/19,In Closure,105538,1,NA
37865,13 - Imperial,12/13/19,In Review,9142790,5,NA
37866,13 - Imperial,12/13/19,Pending Construction,15054000,10,NA
37867,13 - Imperial,12/13/19,In Construction,26475116,5,NA
37868,13 - Imperial,12/13/19,In Closure,0,0,NA
37869,14 - Inyo,12/13/19,In Review,0,0,NA
37870,14 - Inyo,12/13/19,Pending Construction,0,0,NA
37871,14 - Inyo,12/13/19,In Construction,1446200,3,NA
37872,14 - Inyo,12/13/19,In Closure,0,0,NA
37873,15 - Kern,12/13/19,In Review,38471285,28,NA
37874,15 - Kern,12/13/19,Pending Construction,55714444,17,NA
37875,15 - Kern,12/13/19,In Construction,20000312,50,NA
37876,15 - Kern,12/13/19,In Closure,1598122,2,NA
37877,16 - Kings,12/13/19,In Review,0,0,NA
37878,16 - Kings,12/13/19,Pending Construction,130000,1,NA
37879,16 - Kings,12/13/19,In Construction,337810,4,NA
37880,16 - Kings,12/13/19,In Closure,0,0,NA
37881,17 - Lake,12/13/19,In Review,2039200,7,NA
37882,17 - Lake,12/13/19,Pending Construction,1516216,3,NA
37883,17 - Lake,12/13/19,In Construction,6375010,11,NA
37884,17 - Lake,12/13/19,In Closure,30000,1,NA
37885,18 - Lassen,12/13/19,In Review,20000,1,NA
37886,18 - Lassen,12/13/19,Pending Construction,6892036,3,NA
37887,18 - Lassen,12/13/19,In Construction,3651177,7,NA
37888,18 - Lassen,12/13/19,In Closure,0,0,NA
37889,19 - Los Angeles,12/13/19,In Review,276899635,309,Greater Los Angeles Counties
37890,19 - Los Angeles,12/13/19,Pending Construction,233183162,405,Greater Los Angeles Counties
37891,19 - Los Angeles,12/13/19,In Construction,1237478715,999,Greater Los Angeles Counties
37892,19 - Los Angeles,12/13/19,In Closure,84992637,141,Greater Los Angeles Counties
37893,20 - Madera,12/13/19,In Review,8956976,11,NA
37894,20 - Madera,12/13/19,Pending Construction,2308301,8,NA
37895,20 - Madera,12/13/19,In Construction,5304236,17,NA
37896,20 - Madera,12/13/19,In Closure,390754,4,NA
37897,21 - Marin,12/13/19,In Review,39017137,17,Bay Area Counties
37898,21 - Marin,12/13/19,Pending Construction,36738302.63,6,Bay Area Counties
37899,21 - Marin,12/13/19,In Construction,231629420.8,42,Bay Area Counties
37900,21 - Marin,12/13/19,In Closure,40279643.63,8,Bay Area Counties
37901,22 - Mariposa,12/13/19,In Review,0,0,NA
37902,22 - Mariposa,12/13/19,Pending Construction,15000,1,NA
37903,22 - Mariposa,12/13/19,In Construction,51500,3,NA
37904,22 - Mariposa,12/13/19,In Closure,0,0,NA
37905,23 - Mendocino,12/13/19,In Review,50000,1,NA
37906,23 - Mendocino,12/13/19,Pending Construction,345000,2,NA
37907,23 - Mendocino,12/13/19,In Construction,5959828,16,NA
37908,23 - Mendocino,12/13/19,In Closure,0,0,NA
37909,24 - Merced,12/13/19,In Review,2464303,6,NA
37910,24 - Merced,12/13/19,Pending Construction,1654068,5,NA
37911,24 - Merced,12/13/19,In Construction,1872645,10,NA
37912,24 - Merced,12/13/19,In Closure,0,0,NA
37913,25 - Modoc,12/13/19,In Review,0,0,NA
37914,25 - Modoc,12/13/19,Pending Construction,0,0,NA
37915,25 - Modoc,12/13/19,In Construction,26707089,2,NA
37916,25 - Modoc,12/13/19,In Closure,0,0,NA
37917,26 - Mono,12/13/19,In Review,0,0,NA
37918,26 - Mono,12/13/19,Pending Construction,30554,2,NA
37919,26 - Mono,12/13/19,In Construction,0,0,NA
37920,26 - Mono,12/13/19,In Closure,1069276,2,NA
37921,27 - Monterey,12/13/19,In Review,19804625,12,NA
37922,27 - Monterey,12/13/19,Pending Construction,7176260,23,NA
37923,27 - Monterey,12/13/19,In Construction,25247987,26,NA
37924,27 - Monterey,12/13/19,In Closure,672602,3,NA
37925,28 - Napa,12/13/19,In Review,8111066,7,Bay Area Counties
37926,28 - Napa,12/13/19,Pending Construction,12497695,9,Bay Area Counties
37927,28 - Napa,12/13/19,In Construction,6205022,20,Bay Area Counties
37928,28 - Napa,12/13/19,In Closure,356064,4,Bay Area Counties
37929,29 - Nevada,12/13/19,In Review,49000,3,NA
37930,29 - Nevada,12/13/19,Pending Construction,1977243,6,NA
37931,29 - Nevada,12/13/19,In Construction,28582108,18,NA
37932,29 - Nevada,12/13/19,In Closure,1204927,3,NA
37933,30 - Orange,12/13/19,In Review,66255826,68,Greater Los Angeles Counties
37934,30 - Orange,12/13/19,Pending Construction,22552386,72,Greater Los Angeles Counties
37935,30 - Orange,12/13/19,In Construction,182237079,146,Greater Los Angeles Counties
37936,30 - Orange,12/13/19,In Closure,46276829,66,Greater Los Angeles Counties
